@relation image_classification
@attribute density numeric
@attribute x_center numeric
@attribute y_center numeric
@attribute class {accident,bomb,car,casualty,electricity,fire,firebrigade,flood,gas,injury,paramedics,person,police,roadblock}
@data
0.951911,121,120,accident
0.955274,121,120,accident
0.946,122,120,accident
0.947114,120,120,accident
0.932558,120,120,accident
0.942217,121,120,accident
0.947403,120,120,accident
0.95784,122,120,accident
0.951769,120,120,accident
0.944622,120,120,accident
0.950902,121,120,accident
0.948509,120,120,accident
0.969872,122,120,accident
0.960609,121,120,accident
0.960383,120,121,accident
0.960309,122,120,accident
0.959173,120,120,accident
0.933924,121,120,accident
0.932183,120,121,accident
0.934089,120,120,accident
0.945842,121,120,accident
0.942115,121,120,accident
0.965372,122,120,accident
0.975039,121,120,accident
0.962069,121,120,accident
0.971108,121,120,accident
0.968399,120,120,accident
0.954264,122,120,accident
0.956212,120,120,accident
0.951056,121,120,accident
0.954831,122,120,accident
0.959203,121,120,accident
0.935276,122,120,accident
0.937853,121,121,accident
0.93925,121,121,accident
0.940875,122,120,accident
0.946367,121,121,accident
0.930039,122,119,accident
0.928928,121,120,accident
0.938019,121,120,accident
0.936785,121,119,accident
0.93984,121,120,accident
0.961258,122,121,accident
0.956474,121,121,accident
0.95731,121,121,accident
0.96066,122,121,accident
0.957812,121,121,accident
0.947138,122,120,accident
0.947628,121,121,accident
0.953484,121,120,accident
0.951623,122,120,accident
0.951311,121,120,accident
0.947832,122,122,accident
0.95097,121,121,accident
0.958628,120,121,accident
0.95358,122,121,accident
0.957465,120,121,accident
0.950349,122,120,accident
0.95696,120,120,accident
0.954258,121,120,accident
0.958288,121,120,accident
0.953571,121,119,accident
0.967196,122,121,accident
0.954176,121,120,accident
0.930854,121,121,accident
0.585208,121,120,accident
0.297045,121,120,accident
0.972365,122,121,accident
0.971176,120,120,accident
0.973801,121,120,accident
0.969195,122,120,accident
0.973959,121,121,accident
0.956146,122,121,accident
0.95995,121,121,accident
0.96084,121,121,accident
0.954618,122,121,accident
0.95629,122,121,accident
0.960692,123,121,accident
0.952919,121,121,accident
0.958748,121,121,accident
0.965514,122,121,accident
0.954399,121,121,accident
0.966947,122,121,accident
0.964397,121,120,accident
0.969355,121,121,accident
0.963097,122,120,accident
0.967417,121,120,accident
0.941808,122,119,accident
0.935933,121,120,accident
0.945468,121,120,accident
0.940125,121,120,accident
0.936214,121,120,accident
0.945327,123,120,accident
0.947863,122,120,accident
0.955169,122,120,accident
0.944534,122,120,accident
0.955863,121,121,accident
0.982689,123,120,accident
0.983809,121,120,accident
0.980959,121,120,accident
0.981255,122,120,accident
0.979322,120,121,accident
0.952089,122,120,accident
0.958297,121,121,accident
0.953923,121,120,accident
0.956288,122,120,accident
0.960411,121,121,accident
0.977684,122,120,accident
0.976708,121,120,accident
0.977383,121,120,accident
0.980641,122,121,accident
0.981253,121,120,accident
0.963181,122,120,accident
0.961523,121,120,accident
0.967806,120,120,accident
0.968303,122,120,accident
0.970312,121,120,accident
0.964485,122,120,accident
0.967146,121,120,accident
0.973903,121,120,accident
0.967045,122,120,accident
0.97546,121,121,accident
0.962778,122,120,accident
0.96786,121,120,accident
0.965914,121,120,accident
0.966108,122,120,accident
0.96447,121,120,accident
0.965272,122,120,accident
0.962896,121,120,accident
0.962644,121,121,accident
0.964431,122,121,accident
0.964481,120,121,accident
0.951933,122,120,accident
0.948871,121,121,accident
0.954092,121,120,accident
0.951936,122,121,accident
0.940703,120,120,accident
0.920958,122,120,accident
0.908703,122,119,accident
0.912433,121,120,accident
0.912075,122,119,accident
0.91822,121,120,accident
0.952809,122,120,accident
0.950922,121,120,accident
0.950175,120,120,accident
0.947644,121,120,accident
0.950056,120,120,accident
0.973275,122,120,accident
0.979694,121,120,accident
0.9788,121,120,accident
0.981025,122,120,accident
0.97563,120,121,accident
0.951517,122,121,accident
0.951357,121,121,accident
0.945126,121,121,accident
0.951886,122,121,accident
0.955573,121,121,accident
0.957998,122,120,accident
0.962695,121,121,accident
0.958781,121,121,accident
0.953011,121,121,accident
0.956362,121,121,accident
0.949168,122,120,accident
0.946352,121,121,accident
0.943463,121,121,accident
0.957484,122,121,accident
0.955947,121,121,accident
0.970859,122,120,accident
0.977099,122,121,accident
0.978985,121,120,accident
0.979056,122,120,accident
0.980542,121,120,accident
0.966108,122,120,accident
0.961985,121,120,accident
0.967685,121,120,accident
0.963431,122,120,accident
0.964826,120,120,accident
0.928287,123,120,accident
0.928673,120,121,accident
0.929738,121,120,accident
0.929899,122,121,accident
0.936038,121,121,accident
0.951136,122,120,accident
0.95625,121,120,accident
0.956816,120,120,accident
0.955253,122,120,accident
0.959522,120,121,accident
0.949853,122,121,accident
0.936163,121,121,accident
0.941425,121,120,accident
0.944805,122,121,accident
0.950484,121,121,accident
0.895053,122,120,accident
0.902567,121,120,accident
0.923211,121,120,accident
0.928928,122,121,accident
0.931559,120,121,accident
0.965997,122,121,accident
0.971279,122,121,accident
0.969968,121,121,accident
0.970362,122,121,accident
0.971127,121,121,accident
0.961264,123,121,accident
0.96125,121,121,accident
0.960162,120,121,accident
0.963416,122,121,accident
0.962609,121,121,accident
0.947924,122,121,accident
0.960399,121,120,accident
0.959085,121,120,accident
0.964821,121,121,accident
0.96434,120,120,accident
0.977283,122,121,accident
0.976793,121,120,accident
0.978103,121,120,accident
0.96551,121,120,accident
0.888141,120,120,accident
0.96395,122,120,accident
0.969439,121,120,accident
0.964211,121,120,accident
0.964134,122,120,accident
0.958378,121,121,accident
0.964184,122,121,accident
0.965527,121,120,accident
0.965131,121,120,accident
0.967851,122,120,accident
0.969246,121,120,accident
0.968048,122,120,accident
0.963283,120,121,accident
0.961917,121,121,accident
0.959233,122,121,accident
0.959321,120,121,accident
0.983273,123,120,accident
0.974297,121,120,accident
0.975865,121,120,accident
0.976636,121,121,accident
0.966353,121,121,accident
0.940454,122,120,accident
0.945153,121,120,accident
0.938949,121,120,accident
0.946321,122,121,accident
0.944284,121,120,accident
0.967982,122,121,accident
0.961456,120,121,accident
0.962271,121,121,accident
0.962277,122,121,accident
0.963268,121,121,accident
0.969022,122,120,accident
0.973801,121,120,accident
0.969373,121,120,accident
0.975325,121,120,accident
0.975924,120,120,accident
0.959634,122,121,accident
0.952361,121,120,accident
0.949583,121,120,accident
0.953963,122,121,accident
0.956595,120,121,accident
0.963465,122,120,accident
0.955889,120,120,accident
0.952981,120,120,accident
0.961174,121,120,accident
0.947981,120,120,accident
0.928971,122,120,accident
0.920041,121,125,accident
0.930415,120,127,accident
0.938061,122,124,accident
0.938474,121,121,accident
0.947185,122,121,accident
0.943955,121,121,accident
0.941915,121,121,accident
0.944746,122,121,accident
0.933919,120,121,accident
0.950601,122,121,accident
0.944073,121,121,accident
0.948415,120,121,accident
0.9575,122,121,accident
0.958509,120,121,accident
0.958467,122,121,accident
0.959775,121,121,accident
0.958496,121,121,accident
0.956574,121,121,accident
0.95367,120,121,accident
0.967245,122,121,accident
0.964744,121,121,accident
0.968478,121,121,accident
0.969043,121,121,accident
0.963503,120,121,accident
0.981783,122,121,accident
0.983742,120,121,accident
0.982794,120,121,accident
0.9772,121,121,accident
0.977747,121,121,accident
0.962561,122,121,accident
0.964555,120,121,accident
0.966353,121,121,accident
0.972511,122,121,accident
0.960152,120,121,accident
0.956336,123,120,accident
0.955724,121,121,accident
0.955896,121,120,accident
0.959433,122,121,accident
0.959455,121,121,accident
0.980628,122,121,accident
0.98276,121,120,accident
0.982831,121,121,accident
0.98102,122,121,accident
0.981188,121,121,accident
0.922148,122,121,accident
0.935877,120,121,accident
0.926163,121,120,accident
0.935898,121,121,accident
0.922624,120,120,accident
0.921331,122,121,accident
0.920241,121,121,accident
0.932942,120,121,accident
0.933367,121,120,accident
0.936349,121,121,accident
0.976826,122,121,accident
0.978007,121,121,accident
0.979407,121,121,accident
0.977183,122,121,accident
0.970668,120,121,accident
0.95577,122,120,accident
0.966623,121,121,accident
0.96261,120,121,accident
0.96661,122,120,accident
0.971972,121,120,accident
0.966445,123,120,accident
0.966859,121,121,accident
0.96137,120,121,accident
0.961972,122,121,accident
0.916729,120,121,accident
0.958898,122,120,accident
0.958679,121,121,accident
0.94889,121,121,accident
0.956393,122,120,accident
0.95747,120,121,accident
0.969211,122,120,accident
0.963286,120,120,accident
0.968174,121,121,accident
0.96256,122,121,accident
0.952573,121,120,accident
0.955135,122,121,accident
0.964252,121,122,accident
0.957354,121,121,accident
0.958067,122,121,accident
0.950347,121,121,accident
0.955884,122,121,accident
0.958983,121,121,accident
0.961074,121,121,accident
0.96177,122,121,accident
0.958831,121,121,accident
0.958398,123,120,accident
0.962708,121,120,accident
0.959118,121,120,accident
0.961636,122,121,accident
0.953683,121,121,accident
0.962996,122,120,accident
0.951865,121,120,accident
0.943132,121,121,accident
0.948417,122,120,accident
0.95084,120,120,accident
0.950569,121,121,accident
0.960124,121,121,accident
0.959404,121,121,accident
0.946537,122,121,accident
0.880184,121,120,accident
0.974105,122,121,accident
0.972248,121,120,accident
0.964697,121,120,accident
0.799366,121,120,accident
0.538159,121,120,accident
0.95999,122,120,accident
0.960007,121,121,accident
0.96443,121,121,accident
0.963214,122,121,accident
0.968043,121,121,accident
0.954264,122,120,accident
0.966977,121,120,accident
0.962103,121,121,accident
0.964587,122,121,accident
0.961236,121,121,accident
0.958045,122,120,accident
0.967635,121,121,accident
0.963979,121,120,accident
0.965264,122,120,accident
0.95997,120,121,accident
0.918549,122,120,accident
0.937833,121,121,accident
0.944622,121,120,accident
0.940976,122,120,accident
0.938918,120,121,accident
0.922748,122,121,accident
0.927556,121,121,accident
0.940633,121,121,accident
0.938125,122,121,accident
0.933774,121,122,accident
0.961805,122,121,accident
0.973847,121,121,accident
0.971075,121,121,accident
0.969062,122,121,accident
0.974318,121,121,accident
0.942605,122,121,accident
0.960125,121,121,accident
0.957347,121,121,accident
0.961959,122,121,accident
0.952751,121,121,accident
0.957484,122,121,accident
0.956629,121,120,accident
0.959455,121,121,accident
0.96099,122,121,accident
0.959404,120,121,accident
0.939688,123,120,accident
0.947535,120,120,accident
0.936795,121,121,accident
0.936733,122,121,accident
0.942539,121,121,accident
0.964014,122,121,accident
0.968027,121,120,accident
0.960259,121,121,accident
0.957784,122,121,accident
0.961479,120,121,accident
0.974255,122,120,accident
0.976776,121,120,accident
0.977434,121,121,accident
0.98065,122,120,accident
0.975646,121,121,accident
0.959916,123,120,accident
0.967364,121,120,accident
0.967112,121,120,accident
0.967697,122,120,accident
0.968111,121,120,accident
0.941065,122,120,accident
0.941898,121,120,accident
0.944681,121,120,accident
0.945438,122,121,accident
0.949025,121,120,accident
0.964268,122,120,accident
0.965113,121,120,accident
0.964211,121,120,accident
0.966476,122,120,accident
0.965982,121,120,accident
0.960161,123,121,accident
0.962482,122,121,accident
0.958899,121,121,accident
0.961938,122,121,accident
0.962446,121,121,accident
0.957894,122,120,accident
0.959,121,120,accident
0.962006,121,121,accident
0.958764,122,120,accident
0.96013,121,121,accident
0.954448,122,120,accident
0.958578,121,120,accident
0.959956,122,120,accident
0.95735,122,121,accident
0.956487,121,120,accident
0.965304,122,119,accident
0.971769,121,120,accident
0.965469,121,120,accident
0.965239,122,120,accident
0.958491,121,120,accident
0.959718,122,120,accident
0.954987,121,120,accident
0.961614,121,121,accident
0.959652,122,121,accident
0.965324,121,121,accident
0.950316,122,121,accident
0.964996,121,121,accident
0.967517,121,121,accident
0.966527,122,121,accident
0.963283,121,121,accident
0.95257,122,121,accident
0.951815,121,121,accident
0.953653,121,121,accident
0.961182,122,121,accident
0.960965,120,121,accident
0.954264,122,120,accident
0.955889,121,120,accident
0.959562,120,120,accident
0.958593,121,120,accident
0.956099,121,120,accident
0.955721,122,120,accident
0.958204,121,120,accident
0.958052,121,121,accident
0.965154,122,120,accident
0.966418,121,121,accident
0.939079,122,120,accident
0.959017,121,120,accident
0.955651,121,120,accident
0.962022,122,120,accident
0.954988,120,120,accident
0.943853,122,122,accident
0.942556,121,122,accident
0.958125,121,121,accident
0.932252,122,121,accident
0.739792,121,120,accident
0.963433,122,121,accident
0.958321,120,121,accident
0.931368,120,121,accident
0.670849,122,121,accident
0.833673,121,120,accident
0.952675,122,120,accident
0.955947,121,121,accident
0.956925,121,121,accident
0.963082,122,121,accident
0.961888,121,122,accident
0.952879,122,121,accident
0.970592,121,121,accident
0.963587,121,121,accident
0.965331,122,121,accident
0.966994,121,121,accident
0.963482,122,120,accident
0.964374,121,121,accident
0.961963,120,121,accident
0.965356,122,121,accident
0.96244,121,121,accident
0.955784,122,121,accident
0.959371,121,121,accident
0.966558,121,121,accident
0.955235,122,121,accident
0.966877,121,121,accident
0.967112,123,120,accident
0.966205,121,121,accident
0.966638,120,120,accident
0.965808,122,121,accident
0.970755,121,121,accident
0.952882,122,120,accident
0.963352,121,120,accident
0.958679,121,120,accident
0.895652,121,120,accident
0.466687,120,120,accident
0.963781,122,121,accident
0.964515,120,121,accident
0.965785,121,121,accident
0.96673,122,121,accident
0.962179,119,121,accident
0.977408,122,120,accident
0.976928,121,120,accident
0.977788,120,121,accident
0.981557,121,120,accident
0.974028,120,120,accident
0.968846,122,121,accident
0.97089,120,121,accident
0.967837,120,121,accident
0.965314,122,121,accident
0.966003,121,121,accident
0.9729,122,120,accident
0.978699,120,121,accident
0.971817,120,121,accident
0.977802,122,121,accident
0.97148,121,121,accident
0.957327,122,121,accident
0.967382,121,120,accident
0.963827,121,120,accident
0.961865,122,120,accident
0.923928,120,120,accident
0.933227,122,121,accident
0.931677,121,120,accident
0.93618,121,120,accident
0.939408,122,120,accident
0.936619,121,120,accident
0.95664,122,120,accident
0.961968,121,120,accident
0.961175,121,120,accident
0.956534,122,121,accident
0.961884,121,121,accident
0.930661,122,121,accident
0.938054,121,121,accident
0.936669,121,120,accident
0.928337,121,120,accident
0.921675,120,120,accident
0.947991,122,120,accident
0.954901,121,120,accident
0.960135,120,120,accident
0.959667,122,120,accident
0.958289,120,120,accident
0.954682,122,120,accident
0.953936,121,120,accident
0.95174,120,120,accident
0.936408,121,120,accident
0.946842,120,120,accident
0.961509,122,121,accident
0.965685,121,121,accident
0.96723,120,121,accident
0.964132,122,121,accident
0.960011,121,121,accident
0.937251,122,120,accident
0.937391,121,120,accident
0.941286,121,120,accident
0.933279,121,120,accident
0.938204,120,120,accident
0.977559,122,120,accident
0.978547,121,120,accident
0.978221,121,120,accident
0.973898,121,120,accident
0.976409,121,120,accident
0.962289,122,120,accident
0.961388,121,120,accident
0.96259,120,120,accident
0.962392,122,120,accident
0.964656,121,120,accident
0.959469,122,120,accident
0.961134,121,120,accident
0.959775,121,120,accident
0.963015,122,121,accident
0.968124,121,121,accident
0.95736,122,121,accident
0.956537,121,120,accident
0.957229,121,121,accident
0.958498,122,121,accident
0.957814,120,121,accident
0.981097,122,120,accident
0.979254,121,120,accident
0.977704,121,121,accident
0.978074,121,120,accident
0.972469,120,120,accident
0.961475,122,121,accident
0.962023,121,121,accident
0.957991,121,121,accident
0.958284,122,121,accident
0.969245,120,121,accident
0.933443,122,121,accident
0.932858,121,120,accident
0.931002,120,121,accident
0.934711,121,120,accident
0.934156,120,120,accident
0.971327,122,120,accident
0.975613,120,120,accident
0.976015,121,121,accident
0.971044,122,121,accident
0.973437,121,121,accident
0.959584,122,121,accident
0.960159,121,121,accident
0.961546,121,121,accident
0.957571,121,121,accident
0.964267,121,121,accident
0.949996,122,121,accident
0.955156,120,121,accident
0.895096,120,121,accident
0.199133,121,120,accident
0.610205,121,121,accident
0.981465,122,121,accident
0.973943,121,121,accident
0.977358,121,121,accident
0.96901,121,121,accident
0.962793,120,121,accident
0.965539,122,120,accident
0.964792,120,120,accident
0.956985,121,121,accident
0.933296,121,121,accident
0.953401,120,120,accident
0.97486,122,121,accident
0.972198,121,122,accident
0.971193,121,121,accident
0.974227,122,122,accident
0.974634,121,121,accident
0.965372,122,120,accident
0.952006,120,120,accident
0.961879,120,120,accident
0.956765,121,121,accident
0.960236,120,120,accident
0.966392,122,121,accident
0.966505,120,121,accident
0.966488,121,121,accident
0.964156,121,121,accident
0.964165,120,120,accident
0.96192,122,120,accident
0.963995,121,120,accident
0.958729,121,120,accident
0.954241,121,120,accident
0.95111,116,116,accident
0.964614,122,121,accident
0.961782,120,121,accident
0.959489,121,121,accident
0.961065,121,120,accident
0.963541,120,121,accident
0.965389,122,121,accident
0.958338,120,120,accident
0.96657,120,121,accident
0.959906,121,120,accident
0.962794,120,121,accident
0.967278,123,120,accident
0.968848,122,120,accident
0.97514,121,120,accident
0.968467,122,120,accident
0.966299,120,120,accident
0.960828,122,120,accident
0.975683,121,120,accident
0.969884,120,120,accident
0.968072,121,120,accident
0.974543,121,120,accident
0.985336,122,120,accident
0.982893,121,120,accident
0.985859,121,120,accident
0.982598,122,121,accident
0.981788,121,120,accident
0.935326,122,121,accident
0.932757,120,121,accident
0.9322,121,121,accident
0.935976,122,121,accident
0.936467,120,121,accident
0.956188,122,120,accident
0.959423,121,120,accident
0.96535,121,120,accident
0.968684,122,120,accident
0.969,121,120,accident
0.932015,122,120,accident
0.933267,121,121,accident
0.926717,121,121,accident
0.932885,122,120,accident
0.929603,120,121,accident
0.95326,122,121,accident
0.963385,121,121,accident
0.968467,121,121,accident
0.964626,121,121,accident
0.964817,116,117,accident
0.968646,122,121,accident
0.958159,120,122,accident
0.959889,120,122,accident
0.964498,122,121,accident
0.967028,120,122,accident
0.958567,122,121,accident
0.959236,120,121,accident
0.962592,121,120,accident
0.964403,121,121,accident
0.96217,120,121,accident
0.952591,122,121,accident
0.954159,121,120,accident
0.954361,121,121,accident
0.952943,122,120,accident
0.955204,121,121,accident
0.980846,122,120,accident
0.981608,121,120,accident
0.982763,120,121,accident
0.982703,121,121,accident
0.984028,121,121,accident
0.961073,122,120,accident
0.962827,121,120,accident
0.961226,121,120,accident
0.966237,122,120,accident
0.966452,121,120,accident
0.964418,122,120,accident
0.963837,121,121,accident
0.966943,121,120,accident
0.969839,122,121,accident
0.970586,121,121,accident
0.934271,122,120,accident
0.942234,120,120,accident
0.937425,120,120,accident
0.943983,121,120,accident
0.943135,120,120,accident
0.962248,122,121,accident
0.964114,121,120,accident
0.960016,121,120,accident
0.965867,122,120,accident
0.965344,121,120,accident
0.959688,122,120,accident
0.964093,120,121,accident
0.964869,121,121,accident
0.966576,122,120,accident
0.96917,121,121,accident
0.967846,122,121,accident
0.966437,121,121,accident
0.964127,121,121,accident
0.965113,122,120,accident
0.965605,121,120,accident
0.931798,122,120,accident
0.927933,121,120,accident
0.928907,120,120,accident
0.930192,122,120,accident
0.928608,121,120,accident
0.974104,122,120,accident
0.976511,121,120,accident
0.974682,121,120,accident
0.978667,122,120,accident
0.977774,121,120,accident
0.973519,122,120,accident
0.970907,121,120,accident
0.972941,121,121,accident
0.973898,122,120,accident
0.977704,121,121,accident
0.988654,123,121,accident
0.987405,122,121,accident
0.98814,122,121,accident
0.985156,122,121,accident
0.986546,121,121,accident
0.984303,123,121,accident
0.986484,121,121,accident
0.986919,121,121,accident
0.987622,123,121,accident
0.987906,121,121,accident
0.9667,122,121,accident
0.96088,121,121,accident
0.957605,121,121,accident
0.956418,121,121,accident
0.954533,121,121,accident
0.948108,122,120,accident
0.948483,121,120,accident
0.948071,121,120,accident
0.951504,122,120,accident
0.952516,121,121,accident
0.963381,122,120,accident
0.963705,121,120,accident
0.965435,121,120,accident
0.951155,122,120,accident
0.907263,121,120,accident
0.960253,122,120,accident
0.961519,121,121,accident
0.96158,121,120,accident
0.965256,122,121,accident
0.961816,121,121,accident
0.955185,122,121,accident
0.952365,121,121,accident
0.956773,120,121,accident
0.955002,122,121,accident
0.947733,120,121,accident
0.973627,122,121,accident
0.973049,121,121,accident
0.969934,121,121,accident
0.973044,122,121,accident
0.972622,121,121,accident
0.963598,122,121,accident
0.959961,121,121,accident
0.959522,120,121,accident
0.961888,122,121,accident
0.959556,120,121,accident
0.959684,122,120,accident
0.961049,121,121,accident
0.961133,121,121,accident
0.957672,122,120,accident
0.962137,120,121,accident
0.932496,123,120,accident
0.935354,120,121,accident
0.930847,120,122,accident
0.931061,122,121,accident
0.933465,120,121,accident
0.962386,122,121,accident
0.960847,121,121,accident
0.963753,121,121,accident
0.960383,122,121,accident
0.95695,121,121,accident
