@relation 'image_classification-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute VnHhisto_1 numeric
@attribute VnHhisto_3 numeric
@attribute VnHhisto_4 numeric
@attribute VnHhisto_6 numeric
@attribute VnHhisto_7 numeric
@attribute VnHhisto_8 numeric
@attribute VnHhisto_9 numeric
@attribute VnHhisto_12 numeric
@attribute VnHhisto_13 numeric
@attribute VnHhisto_43 numeric
@attribute VnHhisto_53 numeric
@attribute VnHhisto_74 numeric
@attribute VnHhisto_83 numeric
@attribute VnHhisto_94 numeric
@attribute VnHhisto_96 numeric
@attribute VnHhisto_100 numeric
@attribute VnHhisto_108 numeric
@attribute VnHhisto_113 numeric
@attribute VnHhisto_146 numeric
@attribute VnHhisto_149 numeric
@attribute VnHhisto_154 numeric
@attribute VnHhisto_160 numeric
@attribute VnHhisto_175 numeric
@attribute VnHhisto_178 numeric
@attribute VnHhisto_192 numeric
@attribute VnHhisto_195 numeric
@attribute VnHhisto_219 numeric
@attribute VnHhisto_247 numeric
@attribute VnHhisto_252 numeric
@attribute VnHhisto_258 numeric
@attribute VnHhisto_262 numeric
@attribute VnHhisto_271 numeric
@attribute VnHhisto_273 numeric
@attribute VnHhisto_279 numeric
@attribute VnHhisto_281 numeric
@attribute VnHhisto_335 numeric
@attribute VnHhisto_351 numeric
@attribute VnHhisto_358 numeric
@attribute VnHhisto_366 numeric
@attribute VnHhisto_376 numeric
@attribute VnHhisto_382 numeric
@attribute VnHhisto_396 numeric
@attribute VnHhisto_403 numeric
@attribute VnHhisto_413 numeric
@attribute VnHhisto_419 numeric
@attribute VnHhisto_422 numeric
@attribute VnHhisto_439 numeric
@attribute VnHhisto_449 numeric
@attribute VnHhisto_451 numeric
@attribute VnHhisto_454 numeric
@attribute VnHhisto_455 numeric
@attribute VnHhisto_458 numeric
@attribute VnHhisto_465 numeric
@attribute VnHhisto_499 numeric
@attribute VnHhisto_502 numeric
@attribute VnHhisto_503 numeric
@attribute VnHhisto_504 numeric
@attribute VnHhisto_505 numeric
@attribute VnHhisto_506 numeric
@attribute VnHhisto_507 numeric
@attribute VnHhisto_509 numeric
@attribute VnHhisto_511 numeric
@attribute class {accident,bomb,car,casualty,injury}

@data
65280,64921,64697,63910,63250,62586,61923,59280,58421,54262,53410,54275,53707,52756,53199,53417,51809,44915,44707,47263,48177,52118,51971,53216,54262,54272,55106,61357,64922,64544,61907,60406,60405,60958,61378,53016,50874,50980,53081,52366,52258,53619,50791,50784,51628,52198,46686,38971,38973,38367,37495,36050,37542,45284,48302,49478,50645,51818,52991,55287,62344,65280,accident
65280,64345,63788,62298,61365,60442,58710,49227,47622,47579,46552,34364,27411,40151,42374,48839,52925,51986,51372,52186,53559,53472,54714,55983,57789,57790,57120,58150,62788,61591,55131,55014,54840,53751,55204,53154,51590,50458,51295,50659,51406,51863,51287,52859,53334,54027,40096,43059,45171,47450,46100,41662,41261,43125,47339,49027,50762,52860,56723,60550,64051,65280,accident
65280,62307,60692,58304,57289,56297,55687,53854,53236,54679,55507,57017,57245,55911,54891,54750,53826,53224,54996,55603,55893,53385,55947,55005,53574,54657,54524,55572,64913,64178,59567,57333,59256,59929,59296,56691,52428,53174,51950,51362,51530,53237,53434,53244,53416,54130,55670,55830,55703,51188,46394,39251,46516,39155,44538,46445,48369,50497,53374,56247,61975,65280,accident
65280,64232,63634,60488,58306,56123,54395,49869,49278,54217,55232,54863,55565,54552,54166,53945,51786,50798,58311,58221,58418,58144,56569,56253,55547,55377,54091,49808,60776,64529,61904,61527,60858,55109,53100,56343,51455,50991,51870,51213,52672,52741,53925,55154,57642,57225,52865,49755,52502,56336,56336,56337,56713,29931,34954,37589,40203,44564,52800,60954,64899,65280,accident
65280,58585,54934,51469,50487,49442,47718,43263,42530,52061,52061,55753,57260,57846,57473,55083,51835,46444,49602,51052,57537,57956,57344,57003,56201,56193,55087,48657,59921,63883,58380,52885,53942,55615,56466,53289,54080,52395,53932,54136,53262,53239,53160,49713,48136,48101,51319,55155,55681,55849,55800,54985,54849,38290,42939,44803,46960,49346,51732,54569,62022,65280,accident
64259,58376,55865,52108,50988,50705,51266,54979,55821,59065,60002,61710,61012,48621,45371,52297,57472,58363,60955,61568,61660,62085,62064,61610,61816,61526,59962,42452,55264,63558,62263,63119,63467,50776,53917,59641,59619,59540,59610,59742,59548,59739,59781,59773,60150,60154,60772,58172,57611,57987,57988,58547,53822,50486,47319,41516,31979,23857,25939,29496,39180,65280,accident
65069,61333,57818,54307,53114,52026,50982,53453,55244,58831,58912,59108,60753,60246,59907,61203,48322,51194,59869,59801,60246,60490,61478,61685,61104,61327,60049,52021,60604,63992,63488,63068,62896,60163,60301,57002,58519,58948,58135,58987,58305,59056,58659,58594,59777,59852,60650,60380,60404,60387,60372,60372,57019,52481,50325,47876,44279,46547,49180,51515,59096,64843,accident
63958,58508,56717,53358,51840,51392,53373,55989,56562,58155,56511,61906,61671,56583,57275,58776,50272,44267,60117,60433,60776,61697,61169,61374,61651,61601,60712,52062,57033,62414,61955,61021,60678,59778,59571,60432,59821,60287,59817,59822,60028,60654,60158,60509,61320,61779,58211,55820,53284,55483,56490,61648,61247,52123,43719,36142,35230,37213,39697,41969,52258,65280,accident
60717,53666,52340,49855,48911,49375,51800,56487,56306,58736,59066,61342,60368,59877,58402,56380,47714,59551,60414,60951,61516,61473,61409,61668,61459,61375,61123,44375,54339,63139,59198,62274,62665,62279,62278,60059,58739,58961,59591,59267,59149,59939,59802,60949,60831,60888,61116,58288,54381,53224,53778,56137,61183,52996,47942,40640,40412,42321,44507,47134,53530,65280,accident
64311,58957,57072,53781,52582,51596,52161,56345,57149,59552,59685,58620,57374,57659,55037,47326,54386,59362,61241,61295,61167,61022,61339,61255,61617,61335,60932,48993,55997,63697,59937,61751,61013,60803,60584,57850,58389,59142,58518,59291,59581,60202,59257,61131,60962,61248,61539,52523,50752,52231,53839,59949,59607,51573,47209,47202,46682,47300,48853,50819,56989,65280,accident
64786,63919,63704,63468,63468,63468,61854,56073,54494,56633,58742,60178,60936,60888,61121,61642,60422,59808,58703,59758,60913,60578,61328,61633,60977,61019,56141,52203,58644,59266,54423,59185,59087,60386,60523,58759,59470,59225,59093,59545,59541,59653,59697,60929,61482,60833,61151,55022,47502,51744,55454,61199,61204,40181,46843,49326,51402,53696,55704,57409,62124,65280,accident
64967,62648,60133,56412,55364,54592,53661,53582,54875,59227,58875,57754,58527,58539,58527,58422,46498,39461,58931,59158,60375,60119,61867,61922,61516,61426,58258,47519,61285,59343,53083,58823,58545,59317,59425,57604,57858,57940,58338,58339,58822,58351,57858,58626,58664,58516,52800,49436,48092,49089,50237,58196,59891,49445,44807,41791,42149,44839,47520,49998,55883,65280,accident
64106,58102,55484,50978,49140,47465,45842,42888,43282,55354,54723,57178,57171,58077,58086,57742,58489,51401,58846,58807,59000,59713,60472,60179,60312,59852,58116,44043,61244,60076,53060,57490,57893,56629,58919,51089,56987,57386,56825,56748,57331,58430,57357,58629,59669,60170,51905,52117,51364,54855,55344,56737,59022,47819,32892,35467,37605,39225,41045,42976,51734,65280,accident
63946,56586,53842,49290,47723,46051,44290,39892,41417,52547,53598,57248,58144,58632,58872,58801,40834,44008,60197,61181,60793,61242,60700,60353,59790,59457,57840,46798,57065,63657,50558,53619,54786,57659,57129,54211,57118,57086,57135,57129,57478,56905,56784,57306,56683,57107,56595,40903,36725,39536,42988,49587,57654,44686,34577,35905,37759,40407,44565,49547,59356,65280,accident
63766,56524,54620,51450,50187,48909,47638,45680,46950,54291,54673,56882,55794,50706,49426,48046,51437,51226,52430,53489,57576,57917,58296,58022,59222,58293,56925,47185,58117,61862,57306,56842,55766,54619,56228,56800,55544,56588,56796,56283,56066,56836,56274,56630,56272,56529,49421,46717,46238,44740,41956,34436,46332,42038,44015,45252,47159,49302,52572,56010,63811,65280,accident
64882,63150,62911,61920,61203,60484,59771,59064,59064,53306,50582,60100,53907,47111,46634,45070,54943,56473,58027,58240,58915,59331,60097,59696,59462,59065,58193,55603,61300,63660,60629,58075,58215,59150,58642,55668,55873,56437,57522,57414,56290,56987,57580,57002,57563,57585,60301,60446,61501,61626,59460,56049,55104,43403,39634,40883,42516,44484,46650,48992,55996,65280,accident
64924,61716,60589,58854,58125,57400,56838,55417,54835,60599,60824,61640,61250,61355,61220,61263,61893,61520,60542,60431,60087,59139,51826,51940,48976,47783,47545,58382,64969,62369,58695,62023,62014,61346,61968,61366,62006,61725,60714,61377,62023,61650,60051,40379,42152,48076,55550,57741,58748,58208,58649,57528,58117,45881,33311,34656,36712,39374,42067,45306,55557,65280,bomb
65177,62563,61402,60083,59486,58991,58499,57448,57011,59583,60005,60615,60559,60629,60632,60231,60611,60798,59225,59658,59224,59714,45767,46606,47999,48673,50364,59495,63575,61507,60972,60926,60251,61659,61335,57313,60006,60926,60875,60204,60200,60204,60926,61649,50898,42964,49107,53413,55002,55890,56284,56572,57930,40154,31573,33547,35830,38211,40234,42382,52081,65280,bomb
65195,62629,61396,59371,58449,57731,57010,55560,55208,59888,60361,60594,60523,60708,60730,60783,60612,60685,58912,57122,53827,52019,51024,50857,48324,48889,50376,50154,62925,63021,61256,60827,60145,58676,58675,60875,61294,61057,60145,59411,59099,59412,50907,55013,41160,32970,51896,56481,56481,56482,56487,56869,56336,42026,32468,34122,36844,39565,42195,44451,53195,65280,bomb
65120,62191,60988,59681,59031,58389,57745,56657,56017,59395,59507,59836,60308,60283,60198,60372,60044,60283,54261,53284,50300,50332,48450,48349,39437,43067,51874,56770,62866,62067,62337,60479,61269,61028,61028,61182,60874,60304,60306,59599,59852,53871,39442,43681,50715,50968,55668,56771,56775,56886,57284,56776,56776,38198,31998,34785,37787,40977,43894,46688,55002,65280,bomb
65280,62825,61585,59901,59071,58360,57666,55834,55281,59776,60249,60672,60221,58738,58447,58704,59385,59385,55176,51822,49283,48178,47638,47713,48555,49226,53426,60581,64167,64454,60617,57593,58356,59060,59062,59841,58286,59841,60765,59484,58286,60175,45972,53168,49787,41775,50819,55691,55279,55955,55955,55869,56465,38387,32050,34286,37115,40371,43922,48170,58953,65280,bomb
64977,62411,61359,59511,59019,58528,58043,56240,55432,60368,60783,60890,61031,61538,61859,61631,60923,61087,58166,58351,55369,56728,55393,53208,48287,48696,54243,56153,60918,63512,54291,60244,61039,62036,61753,62579,60622,60832,62687,60888,60387,46978,54740,51659,54084,54644,57648,59483,59041,59469,59461,58186,58534,49290,40484,39261,40875,43058,45599,49227,54689,65280,bomb
65102,62545,61436,59726,58972,58267,57560,56231,55794,60377,60317,61436,61365,61685,61378,61778,61270,61440,59349,58157,53137,48920,50574,49681,50303,51643,55077,56833,61642,60040,58002,61121,61806,61108,61106,49983,61814,61108,59731,60416,60750,61308,44393,45336,51245,52624,56186,58017,57660,57822,57949,57646,58314,49602,41760,38572,40197,42483,44759,47419,57058,65280,bomb
63828,55500,53062,48683,46931,45487,44443,40550,41149,55092,56425,56571,57219,57606,57753,58029,57667,56317,54790,54261,54394,56489,57228,56495,55598,56413,54803,50025,57973,63060,55023,51784,55015,44331,42434,58024,58405,58229,58490,58598,58500,58816,58691,57625,57772,58122,56778,56461,56254,55690,55500,55278,54797,42816,46434,47553,48960,50826,52692,54932,62035,65280,bomb
64638,60710,59498,57371,56611,55982,55674,54457,55232,61354,61461,62089,62071,62019,62121,61889,62219,61482,60342,58284,55928,57146,54962,54675,51222,50802,49593,62361,64529,60930,59688,60316,58826,61066,61583,62287,55944,58618,59334,58753,59547,61970,62302,62284,48995,38403,56524,58090,58098,58813,59245,58688,59273,48829,36893,34719,37011,40014,43337,46783,60408,65280,bomb
65280,64614,64258,60465,58177,56018,54234,49628,48560,58292,59446,59925,59447,58268,58268,57546,52985,50575,54621,53617,53213,51639,47190,47197,53043,52990,52004,50926,60633,57100,55148,56183,58850,59602,58861,61082,61572,42913,39766,41741,48401,51922,52753,54405,53600,54701,56248,56052,56027,55222,55223,55992,55376,40250,43832,45297,47318,49866,52669,56321,62306,65280,bomb
65280,62728,61418,59576,58705,58127,57686,56375,55943,60462,60417,61175,59932,53262,53333,55137,57391,57065,48121,50593,51119,51090,49543,48388,55994,57728,59437,60865,64143,53844,47870,61421,61877,61804,62101,62015,62089,60694,53952,58910,59038,61281,61304,62100,60635,59303,49360,52029,54472,55540,56430,56526,57331,38072,32460,34243,36758,39875,43326,46898,63842,65280,bomb
65214,61388,59556,57641,56683,55729,54768,52261,51591,60109,59957,60974,60173,61042,60903,60574,61506,59934,55893,55889,55426,52433,49902,50784,48866,49731,57213,64144,64953,62060,56301,59212,59274,60028,60028,55024,59057,61529,61904,62225,61528,49293,40425,52498,53276,52599,55419,57354,57516,57567,57161,57778,57584,45880,41797,43838,45874,47918,51104,54439,62059,65280,bomb
64995,61296,59915,58234,57392,56544,55710,53754,53253,59546,60009,60335,60754,60946,60754,61108,61109,55730,51121,51708,51791,49378,54336,54165,53917,53930,58958,58979,63826,60920,57261,59921,60475,60963,61750,61531,57329,59203,61162,61841,62091,57501,44626,47521,51844,53490,57516,57964,58090,57838,58221,58021,57025,45466,34673,35833,37577,39894,41945,43883,50962,65280,bomb
64322,54483,51386,47859,45071,42270,40078,36903,35851,54382,55185,56064,56086,56385,56496,57014,56962,56970,56999,57000,56409,53439,54012,55162,56640,54843,53270,46881,56782,62589,49274,37438,37819,45985,46720,58326,58611,58618,58612,58612,58233,57622,57957,57941,56840,56605,55973,55828,55472,54921,54729,54622,53951,42705,44924,46324,48369,50415,52462,55811,62848,65280,bomb
65097,61749,60287,58273,57355,56516,55681,53644,53134,60609,60945,60500,61072,60823,60990,60895,61072,61072,51688,48720,49948,54850,55195,54397,55185,55498,52758,59834,64578,64656,55304,61733,61733,61228,60623,51760,61542,61734,61733,62015,61733,63146,56073,37491,46516,48710,55124,55354,55350,55378,55765,57482,58129,41881,37988,39911,41861,43808,46451,49238,57287,65280,bomb
64017,55712,53469,49505,47782,46143,45104,41400,41077,53703,55233,55361,56026,55359,56057,56611,56901,57023,56570,56199,53297,46272,56904,57024,55375,55196,53512,44445,54921,60613,51155,34245,33115,44981,46406,57394,57364,58559,58584,58553,58215,58584,58539,57974,57362,57333,56113,55652,56011,55195,54861,54289,53781,44228,48874,50577,53157,56358,59556,61995,64282,65280,bomb
64353,59976,59132,57617,56951,56282,55615,54369,54895,60498,61107,61133,61327,61587,61597,61628,61389,61603,61295,61432,59735,58482,52811,53289,52863,53189,50176,54158,60994,59141,58533,61908,61575,60636,61352,58039,61346,62260,60825,60324,60769,56921,44809,44434,50745,53046,58181,58524,58138,59073,58830,58810,57958,49134,43112,38904,37459,39414,40970,43621,52363,65280,bomb
65108,63947,61564,58234,57463,56782,56158,53959,53634,60791,60846,61419,61773,61934,62104,62021,61778,62113,58943,58189,58451,58194,52038,52983,52701,51624,48633,57087,61594,61020,54414,61271,61919,61836,61855,58459,61302,62423,61070,60121,59492,53189,57580,47464,55520,57068,58984,59345,58956,58955,58577,58401,58391,49545,41660,38331,37493,39990,42169,44800,53838,65280,bomb
63268,54662,52174,48435,47014,45587,44167,42019,42375,56088,55850,56491,56657,56325,56730,56469,56932,56397,53634,52816,53835,53693,53716,53007,52932,51616,53893,49383,61387,63981,56640,45085,44199,39942,38636,56576,57435,58685,58761,59288,58744,58909,59285,58967,58744,58751,58046,56027,56025,55926,55749,55210,53907,40154,43608,44886,46176,49528,52978,56454,62311,65280,bomb
63208,55518,52526,47651,45771,44271,42953,39019,40149,56085,56462,56281,57219,57593,57217,57030,54963,54967,50280,51024,56272,57587,57024,57022,57024,55711,54397,47459,56086,63678,55262,44568,45002,53260,54652,56118,59160,58819,59159,58930,59160,59159,58840,58662,58618,58139,57630,57365,56671,57097,56816,55934,54364,42078,45472,46866,48258,50526,52956,55392,61898,65280,bomb
64873,58560,55823,51746,49857,48052,46244,42727,41144,56190,57226,58445,58344,57085,56841,56563,56564,57188,57998,57827,57591,58692,58131,59067,58543,58160,56247,50790,60480,55817,54508,43414,41859,46027,48298,57567,58481,58955,59089,58913,58270,58270,58268,58887,58257,59368,57717,56963,57337,56906,56614,56929,56852,41764,46060,47777,49220,50661,53806,58140,63439,65280,bomb
65008,62840,59169,54095,52388,51285,50189,48487,48653,60934,61208,61652,61653,60540,57938,53964,55318,56374,61952,62136,62129,61809,61508,61496,61185,60898,60194,55683,61768,64195,62882,62115,62189,62556,62161,63349,60944,43223,53317,57676,59218,59528,60007,59418,60498,59830,59829,59842,59851,59841,59844,59389,59047,52645,50225,49102,45816,46774,48828,50832,55782,65280,bomb
