@relation image_classification
@attribute huMoments_1 real
@attribute huMoments_2 real
@attribute huMoments_3 real
@attribute huMoments_4 real
@attribute huMoments_5 real
@attribute huMoments_6 real
@attribute huMoments_7 real
@attribute class {accident,bomb,car,casualty,injury}
@data
0.176842,9.76212e-07,4.2897e-06,1.49439e-09,-1.15597e-16,-6.83246e-13,3.08736e-17,accident
0.177155,3.44677e-07,6.05199e-06,7.95301e-08,-3.56774e-14,4.66822e-11,-4.20887e-14,accident
0.178294,9.09353e-07,6.16856e-06,5.05676e-08,5.42307e-15,4.77801e-11,-2.77168e-14,accident
0.17787,3.78162e-06,6.55075e-06,1.88907e-07,-1.70207e-13,-2.13414e-10,1.2325e-13,accident
0.181205,1.89777e-05,3.14456e-06,9.39825e-08,-2.75741e-14,-1.51436e-10,4.30119e-14,accident
0.183665,1.36466e-05,5.04087e-06,6.14038e-07,1.02177e-12,1.4027e-09,-3.50782e-13,accident
0.183786,3.20723e-05,2.55059e-06,9.54641e-07,6.39648e-13,-3.07886e-09,1.34531e-12,accident
0.188416,6.22066e-05,2.05378e-05,4.88736e-07,7.83365e-13,-1.20387e-09,-1.33564e-12,accident
0.182493,3.97255e-05,1.44724e-06,1.23311e-06,2.09203e-14,2.62773e-09,1.64716e-12,accident
0.179986,1.37957e-05,4.00167e-06,6.01847e-06,-2.89996e-11,2.20634e-08,5.6025e-12,bomb
0.183599,1.50345e-05,3.15763e-06,1.06219e-05,-6.14108e-11,4.1142e-08,-3.5872e-12,bomb
0.184235,3.48882e-05,1.82408e-06,1.21831e-05,-5.48431e-11,6.64671e-08,1.7051e-11,bomb
0.187407,1.12785e-05,9.4968e-06,9.24957e-06,-7.89549e-11,2.76136e-08,-3.5796e-11,bomb
0.18551,3.66727e-05,6.28268e-06,1.08166e-05,-8.20842e-11,6.53629e-08,3.48282e-11,bomb
0.179428,1.30818e-05,5.53919e-06,2.10307e-06,-6.49706e-12,7.59902e-09,-3.0515e-12,bomb
0.18229,1.02172e-05,5.16949e-06,4.68422e-06,-2.13398e-11,1.22636e-08,-8.71402e-12,bomb
0.183506,1.11747e-05,1.05096e-06,1.07756e-07,-3.26996e-14,4.94859e-11,-1.56751e-14,bomb
0.179114,2.16577e-05,1.21002e-06,4.76016e-06,-1.11651e-11,2.16143e-08,-2.41955e-12,bomb
0.191576,6.55063e-05,3.86574e-06,1.64116e-06,-2.0852e-12,7.84058e-09,-3.56927e-12,bomb
0.183126,3.50982e-05,9.30142e-06,1.34467e-06,4.26818e-13,-2.02062e-09,4.73634e-12,bomb
0.185266,4.12135e-05,4.16113e-06,2.45732e-06,-7.75219e-12,1.46649e-08,1.2836e-12,bomb
0.184388,1.42536e-05,1.09324e-05,2.14996e-06,-8.47017e-12,6.56174e-09,6.07452e-12,bomb
0.184028,3.19096e-05,7.52171e-08,1.53385e-07,5.93757e-15,5.36089e-10,-1.53682e-14,bomb
0.18331,1.8283e-05,6.2554e-06,3.23939e-06,-1.34166e-11,1.3148e-08,5.71274e-12,bomb
0.184549,1.81443e-05,6.25389e-07,2.88077e-08,-4.19474e-16,-6.84965e-11,3.84385e-15,bomb
0.180387,2.03734e-05,3.17496e-06,5.39361e-06,-2.21137e-11,1.96162e-08,3.02535e-12,bomb
0.180581,1.51783e-05,4.4825e-06,4.272e-06,-1.52675e-11,1.36272e-08,-1.07878e-11,bomb
0.185802,3.28905e-05,3.6863e-06,9.2463e-07,-7.32742e-13,-5.12981e-09,1.54179e-12,bomb
0.185015,1.68187e-05,1.41912e-06,1.46383e-07,-3.32422e-14,5.99127e-10,-5.78475e-14,bomb
0.180026,1.3654e-07,1.32334e-06,1.22066e-07,-3.09965e-14,1.77648e-11,-3.80276e-14,bomb
0.177518,3.86691e-07,4.7862e-06,3.13326e-08,-6.66853e-15,-1.32835e-11,1.01368e-14,bomb
0.176717,1.02515e-06,5.40711e-06,1.04827e-08,2.45252e-15,-1.00915e-11,4.62274e-16,bomb
0.177961,8.02674e-08,7.78307e-06,3.24494e-08,1.5416e-14,-9.18145e-12,5.31765e-15,bomb
0.178556,6.44227e-07,6.43352e-06,1.35365e-08,4.13622e-16,1.01597e-11,3.97322e-15,bomb
0.198792,1.59157e-05,3.54938e-05,3.08409e-06,3.70605e-12,-6.73682e-09,-3.20541e-11,bomb
0.193944,1.93839e-05,3.36482e-05,1.68553e-06,-1.53583e-12,-3.24101e-10,1.26004e-11,bomb
0.196461,7.08163e-06,3.86779e-05,2.361e-06,1.32866e-11,-5.75427e-09,-1.82347e-11,bomb
0.193306,1.61098e-05,2.19982e-05,2.7366e-06,3.75484e-12,-1.05795e-08,-2.08983e-11,bomb
0.199633,8.89491e-06,3.93639e-05,4.71495e-07,5.20171e-14,-5.13271e-10,-2.03059e-12,bomb
0.177274,1.95692e-06,4.96678e-06,2.37171e-08,7.54831e-15,-2.18043e-11,3.04703e-15,bomb
0.175345,6.48199e-07,5.59216e-06,2.87372e-08,1.1252e-14,-2.08168e-11,2.47101e-15,bomb
0.166664,0,0,0,0,0,0,bomb
0.174233,3.51769e-09,1.12458e-06,2.60104e-08,6.88096e-16,3.95303e-14,4.39498e-15,bomb
0.173831,2.23046e-08,3.32423e-07,7.27302e-09,-1.74449e-16,-9.40439e-13,3.12181e-16,bomb
0.18176,1.7144e-06,1.0201e-05,1.80973e-08,-6.91475e-15,2.2218e-11,3.55645e-15,bomb
0.189495,2.42554e-05,3.81629e-06,7.60177e-06,3.75286e-11,-2.53671e-08,1.63718e-11,car
0.190855,2.76075e-05,9.95792e-06,1.0192e-05,9.39085e-11,-3.66569e-08,4.15199e-11,car
0.195806,1.577e-05,1.13633e-05,1.68849e-05,1.14282e-10,-6.69075e-08,2.04063e-10,car
0.21032,6.80044e-06,7.10428e-06,7.46972e-06,4.32269e-11,-8.15942e-09,3.30514e-11,car
0.198592,1.14428e-05,2.84287e-05,7.72824e-06,1.07058e-10,2.54258e-08,4.07498e-11,car
0.233329,2.16916e-06,9.64841e-06,3.09145e-06,2.07677e-12,-6.21983e-10,-1.67556e-11,car
0.216175,0.000123553,5.4646e-06,3.00352e-05,2.53922e-10,8.46618e-08,2.89115e-10,car
0.237286,5.65154e-06,2.27507e-05,6.30279e-05,2.24032e-09,-1.40111e-07,-8.22972e-10,car
0.232745,2.7053e-05,2.40594e-05,3.76071e-05,7.03093e-10,1.64093e-07,8.86181e-10,car
0.251216,7.05256e-05,2.63632e-05,6.55247e-05,-2.49593e-09,2.7813e-07,1.08953e-09,car
0.280188,2.32825e-06,7.12155e-05,7.68914e-05,-4.72441e-09,-2.04902e-08,3.17093e-09,car
0.233053,8.40894e-07,9.31648e-06,7.45908e-05,-3.08963e-11,6.82713e-08,1.96608e-09,car
0.202871,5.71755e-05,4.33239e-05,0.000112046,6.69712e-09,-2.03344e-07,4.01124e-09,car
0.213433,1.58046e-05,6.94488e-06,1.27517e-05,4.46959e-11,1.61024e-08,1.11367e-10,car
0.209562,1.66032e-05,1.17807e-07,2.2286e-05,-7.10505e-12,-5.58985e-08,3.54045e-11,car
0.210725,3.9788e-05,3.36885e-07,2.78353e-05,8.49621e-11,-5.13514e-08,6.85629e-12,car
0.235557,0.000195477,3.45164e-05,1.25904e-05,-2.59492e-10,-1.67153e-07,-3.93871e-11,car
0.218835,9.27719e-07,4.24787e-08,2.29198e-05,2.22559e-11,1.70037e-08,-4.01556e-12,car
0.231019,2.5647e-05,9.92315e-07,9.1165e-06,-2.72522e-11,4.51762e-08,3.02815e-12,car
0.24357,6.85365e-06,1.56948e-05,6.49678e-05,-7.57628e-11,1.53631e-07,2.07317e-09,car
0.255173,0.000183719,5.11115e-05,6.61963e-05,3.84771e-09,2.40577e-08,-1.44873e-10,car
0.184657,4.83905e-05,4.35209e-06,6.49436e-06,2.94458e-11,-4.44361e-08,1.80286e-11,car
0.190708,1.09866e-05,4.94122e-06,1.20758e-05,9.20583e-11,-2.7573e-08,1.50516e-11,car
0.186704,3.19941e-05,2.22814e-06,7.20692e-06,2.88302e-11,-9.09187e-09,-1.6934e-12,car
0.187846,4.26419e-05,6.61443e-07,8.26651e-06,1.62744e-11,-8.7487e-09,-1.04301e-11,car
0.191879,2.0322e-05,4.7833e-06,1.84167e-05,1.09958e-10,-6.52922e-09,1.33371e-10,car
0.227159,1.07928e-05,4.72954e-06,1.6286e-05,5.81862e-11,3.00731e-08,1.30553e-10,car
0.225156,0.000162109,4.01237e-05,7.19076e-05,3.01246e-09,-9.15101e-07,-2.41736e-09,car
0.244328,0.000194928,1.80794e-05,4.36858e-05,6.24804e-10,-1.03951e-07,-1.05685e-09,car
0.234291,3.74549e-05,2.27476e-06,7.91687e-05,-4.76724e-10,-4.41459e-07,9.49461e-10,car
0.240581,2.80617e-05,5.25924e-06,5.24843e-05,8.56496e-10,-8.48725e-08,1.63589e-10,car
0.194586,7.18896e-05,2.54445e-05,4.19665e-05,8.44823e-10,-3.33542e-07,1.08023e-09,car
0.199276,2.31663e-05,3.68419e-06,2.40276e-05,2.23654e-10,-1.15519e-07,-3.29427e-11,car
0.204068,4.68101e-06,3.27848e-06,9.83703e-05,1.52941e-09,4.9163e-09,8.84136e-10,car
0.203111,0.00010204,7.17989e-06,2.8809e-05,3.39389e-10,-1.53794e-07,2.37673e-10,car
0.204914,1.26941e-05,5.3073e-06,3.62928e-05,4.44676e-10,-8.34803e-08,2.36584e-10,car
0.194015,5.45776e-05,2.04805e-06,5.35816e-06,1.40036e-11,3.05126e-08,-1.09067e-11,casualty
0.195786,7.80769e-07,3.49902e-07,2.16287e-07,-5.66018e-14,-1.39766e-10,-1.83439e-14,casualty
0.192519,9.02169e-06,7.99219e-06,3.1474e-07,-4.60245e-13,-4.81816e-10,-1.93287e-13,casualty
0.185007,1.89678e-06,5.58306e-07,1.2108e-06,-6.07009e-14,5.71001e-10,-9.93657e-13,casualty
0.180906,7.82407e-06,1.36029e-05,1.14172e-06,-2.71972e-12,-3.18637e-09,3.58438e-12,casualty
0.186284,3.22812e-06,1.56055e-06,6.9392e-07,7.13652e-13,-4.52781e-10,1.10199e-13,casualty
0.181901,1.64104e-05,4.59199e-06,2.60629e-07,-9.08796e-14,-6.35282e-10,-2.70253e-13,casualty
0.1784,4.19829e-06,4.52427e-07,5.384e-07,-7.43828e-15,-5.26831e-10,-2.6562e-13,casualty
0.203288,0.000169347,2.11321e-06,3.78584e-06,1.07035e-11,-4.29361e-08,3.17468e-13,casualty
0.209692,0.000168271,3.0291e-07,2.95082e-06,2.09692e-12,3.26444e-08,1.84006e-12,casualty
0.206316,0.00028152,1.06664e-05,9.51469e-06,3.43428e-11,1.48119e-07,8.94882e-11,casualty
0.203497,0.000222764,5.96589e-06,2.75863e-05,-3.50434e-11,2.97112e-07,3.52158e-10,casualty
0.203783,0.000329501,1.42163e-05,7.70146e-06,6.00823e-11,-3.44984e-08,5.37029e-11,casualty
0.18338,1.2333e-05,1.06994e-06,9.36373e-07,-6.62043e-13,6.34453e-10,-6.63418e-13,casualty
0.181716,8.97212e-05,1.81078e-06,6.31148e-08,-2.0083e-14,1.5797e-10,7.20669e-15,casualty
0.180161,4.39887e-05,5.45957e-06,4.24075e-07,5.64847e-13,4.1297e-10,3.1197e-13,casualty
0.182736,5.71692e-06,3.92107e-07,1.56992e-06,5.14979e-13,3.43945e-09,-1.11891e-12,casualty
0.181264,3.03629e-05,4.92088e-06,3.02787e-06,-8.5685e-12,-1.77206e-09,-7.94869e-12,casualty
0.183078,2.6968e-06,2.50553e-06,4.31432e-07,2.5475e-13,7.05933e-10,-3.69196e-13,casualty
0.186778,4.82929e-05,5.72572e-07,1.16778e-06,-7.38915e-13,-7.76161e-09,-6.04846e-13,casualty
0.190472,8.4444e-06,2.15675e-06,1.60467e-06,-1.5092e-12,-4.66302e-09,2.57566e-12,casualty
0.191589,1.16944e-06,1.04863e-05,2.73214e-06,-1.46001e-11,-1.37047e-09,-8.36265e-13,casualty
0.187459,3.20499e-05,4.98815e-07,8.58293e-07,4.54602e-13,4.71448e-09,3.29736e-13,casualty
0.183553,2.00238e-05,1.48049e-07,8.53971e-07,1.50158e-13,3.70211e-09,2.63919e-13,casualty
0.184735,1.87795e-05,3.83144e-08,9.30471e-07,1.70491e-13,2.97716e-09,4.24039e-14,casualty
0.181351,8.03371e-06,3.62294e-06,3.07438e-07,9.66784e-14,-1.04092e-10,-3.09726e-13,casualty
0.180883,2.51907e-05,5.50097e-06,3.03517e-07,-1.71768e-13,6.03685e-10,-3.52573e-13,casualty
0.180861,1.34248e-05,1.104e-05,1.86925e-06,-2.07797e-12,-3.45994e-09,-8.23333e-12,casualty
0.180664,2.08799e-06,6.41036e-07,7.97751e-08,-4.77443e-15,5.53201e-11,1.7397e-14,casualty
0.181394,8.66027e-06,7.50334e-07,1.24268e-06,6.68583e-13,-2.45884e-09,9.96437e-13,casualty
0.181149,2.09183e-05,2.91403e-06,3.62784e-07,2.97946e-13,2.33361e-10,-2.24419e-13,casualty
0.178806,6.14645e-06,8.96996e-08,3.60991e-07,-3.76173e-14,6.14047e-10,-5.29588e-14,casualty
0.177864,9.21781e-06,2.92999e-07,2.07731e-07,-2.45418e-14,-3.43018e-11,-4.49906e-14,casualty
0.19401,1.7162e-05,2.79471e-06,2.04938e-06,-4.60617e-12,-7.81557e-09,-1.68471e-12,casualty
0.192505,4.56227e-05,1.80642e-05,3.29507e-06,-2.25677e-11,-6.18135e-09,1.17034e-11,casualty
0.194694,9.73565e-06,1.1683e-06,1.19662e-06,-1.40158e-12,6.76486e-11,1.93345e-13,casualty
0.190832,0.000105594,6.73207e-06,3.24756e-06,-5.19419e-12,2.7014e-08,1.42688e-11,injury
0.191938,6.53317e-05,8.85568e-06,3.85197e-06,-1.19296e-11,-1.64107e-08,-1.90741e-11,injury
0.1998,4.60382e-05,2.20417e-06,1.58602e-06,-2.95383e-12,3.61402e-09,-2.61793e-13,injury
0.197992,7.98867e-05,2.3493e-06,4.23863e-06,1.13379e-11,3.26815e-08,-7.09603e-12,injury
0.201615,0.000109743,7.92963e-06,4.89032e-06,2.73472e-12,2.34296e-08,-3.03302e-11,injury
0.192884,8.73251e-05,4.46354e-06,6.63995e-06,2.84918e-11,3.56793e-08,-2.22466e-11,injury
0.196244,1.52188e-05,2.44823e-05,1.4538e-06,9.71474e-13,2.85637e-09,8.61866e-12,injury
0.193465,0.000135972,1.82618e-06,4.30783e-06,9.87001e-12,2.80188e-08,-6.96938e-12,injury
0.195976,0.000112867,5.92075e-06,6.34447e-06,3.94997e-13,-1.60811e-08,-3.88829e-11,injury
0.197371,0.000167172,1.0112e-05,7.657e-07,-1.02739e-12,-6.56252e-09,-1.86656e-12,injury
0.195902,0.000115326,2.00921e-05,2.14711e-06,-1.4102e-11,-2.15192e-08,1.09465e-13,injury
0.191435,4.09579e-05,1.39499e-05,1.75322e-06,7.5443e-12,1.12153e-08,-4.27318e-12,injury
0.206485,6.48492e-05,4.53416e-06,1.10484e-05,-2.00322e-11,1.15007e-08,-7.55893e-11,injury
0.199951,0.000141638,1.3457e-05,2.22412e-06,-1.08077e-11,2.0839e-08,-5.59003e-12,injury
0.205138,0.000157165,2.91573e-05,1.58559e-05,-3.27789e-10,1.92009e-07,9.37242e-11,injury
0.192158,0.000122585,9.62378e-06,2.16912e-06,-3.56229e-12,-7.48809e-09,-9.24824e-12,injury
0.197914,7.37079e-05,9.69913e-06,2.84449e-06,-1.44151e-11,3.20993e-09,-3.92859e-12,injury
0.205008,3.48073e-05,1.58573e-05,1.07879e-05,1.13323e-10,1.13887e-08,8.40635e-11,injury
0.200228,7.38645e-05,8.28431e-06,2.03594e-06,-1.20094e-13,-1.18792e-08,8.36045e-12,injury
0.196992,0.000124836,5.30148e-06,2.46094e-06,-5.2714e-12,-1.31033e-08,-7.15722e-12,injury
0.195916,6.7562e-05,5.59485e-06,4.22675e-06,3.42794e-12,-1.35519e-08,-2.02665e-11,injury
0.197981,2.6024e-05,2.35086e-05,1.66798e-07,2.74199e-13,-3.04377e-10,-1.8414e-13,injury
0.194087,6.38784e-05,3.64581e-06,5.60965e-06,2.50483e-11,3.50381e-09,-4.01991e-12,injury
0.216418,0.000104804,2.03459e-05,1.93754e-06,-1.17464e-11,1.92846e-08,-3.16388e-12,injury
0.206628,1.69788e-05,3.26462e-05,5.526e-08,6.28148e-14,1.02621e-10,3.95373e-14,injury
0.190979,4.65605e-05,2.57941e-05,5.24762e-06,5.31965e-11,-1.17704e-08,-2.99593e-11,injury
0.207821,7.44253e-05,2.24282e-05,3.56036e-06,-2.44471e-11,3.71818e-09,-2.03607e-11,injury
0.19849,6.48621e-05,1.05559e-05,5.97421e-06,-1.29437e-11,-9.79189e-09,-4.56427e-11,injury
0.198623,7.15582e-05,5.88298e-06,2.48975e-06,-6.74399e-12,-2.10288e-08,-6.7316e-12,injury
0.201695,4.88473e-05,9.93216e-06,1.91908e-06,7.45174e-13,5.33797e-09,-8.34521e-12,injury
0.197247,0.00010352,9.62744e-06,3.36548e-06,-1.45724e-11,-2.56684e-08,-1.24352e-11,injury
0.182581,5.77069e-06,8.07195e-06,3.50095e-06,6.80543e-13,6.5573e-09,-1.85985e-11,injury
0.212688,6.70348e-05,1.26362e-05,2.50842e-05,4.07321e-10,3.58413e-08,-1.83114e-10,injury
0.22247,5.39843e-05,6.0152e-05,7.29774e-06,-8.12683e-11,-2.18954e-08,1.29514e-10,injury
0.223444,0.000138335,9.38545e-05,4.1626e-06,-6.01514e-11,4.7203e-08,5.61356e-11,injury
0.233785,5.97613e-05,8.28025e-05,2.25828e-06,-1.30884e-11,-1.60974e-08,2.797e-11,injury
